position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1.0,1,57.0,25.0,False,False,False,5636.736,0,1141,7953
2.0,11,57.0,18.0,False,False,False,5648.723,11.987,1141,7953
3.0,14,57.0,15.0,False,False,False,5675.373,38.637,1141,7953
4.0,55,57.0,12.0,False,False,False,5684.788,48.052,1141,7953
5.0,44,57.0,10.0,False,False,False,5687.713,50.977,1141,7953
6.0,18,57.0,8.0,False,False,False,5691.238,54.502,1141,7953
7.0,63,57.0,6.0,False,False,False,5692.609,55.873,1141,7953
8.0,77,57.0,4.0,False,False,False,5709.383,72.647,1141,7953
9.0,10,57.0,2.0,False,False,False,5710.489,73.753,1141,7953
10.0,23,57.0,1.0,False,False,False,5726.51,89.774,1141,7953
11.0,22,57.0,0.0,False,False,False,5727.606,90.87,1141,7953
12.0,2,56.0,0.0,False,False,False,,+1 LAP,1141,7953
13.0,20,56.0,0.0,False,False,False,,+1 LAP,1141,7953
14.0,21,56.0,0.0,False,False,False,,+1 LAP,1141,7953
15.0,27,56.0,0.0,False,False,False,,+1 LAP,1141,7953
16.0,24,56.0,0.0,False,False,False,,+1 LAP,1141,7953
17.0,4,55.0,0.0,False,False,False,,+2 LAPS,1141,7953
,31,41.0,0.0,True,False,False,,,1141,7953
,16,39.0,0.0,True,False,False,,,1141,7953
,81,13.0,0.0,True,False,False,,,1141,7953
1.0,11,50.0,25.0,False,False,False,4874.894,0,1142,7779
2.0,1,50.0,0.0,False,False,False,4880.249,5.355,1142,7779
3.0,14,50.0,15.0,False,False,False,4895.622,20.728,1142,7779
4.0,63,50.0,12.0,False,False,False,4900.76,25.866,1142,7779
5.0,44,50.0,10.0,False,False,False,4905.959,31.065,1142,7779
6.0,55,50.0,8.0,False,False,False,4910.77,35.876,1142,7779
7.0,16,50.0,6.0,False,False,False,4918.056,43.162,1142,7779
8.0,31,50.0,4.0,False,False,False,4927.726,52.832,1142,7779
9.0,10,50.0,2.0,False,False,False,4929.641,54.747,1142,7779
10.0,20,50.0,1.0,False,False,False,4939.72,64.826,1142,7779
11.0,22,50.0,0.0,False,False,False,4942.388,67.494,1142,7779
12.0,27,50.0,0.0,False,False,False,4945.482,70.588,1142,7779
13.0,24,50.0,0.0,False,False,False,4950.954,76.06,1142,7779
14.0,21,50.0,0.0,False,False,False,4952.372,77.478,1142,7779
15.0,81,50.0,0.0,False,False,False,4959.915,85.021,1142,7779
16.0,2,50.0,0.0,False,False,False,4961.187,86.293,1142,7779
17.0,4,50.0,0.0,False,False,False,4961.339,86.445,1142,7779
18.0,77,49.0,0.0,False,False,False,,+1 LAP,1142,7779
,23,27.0,0.0,True,False,False,,,1142,7779
,18,16.0,0.0,True,False,False,,,1142,7779
1.0,1,58.0,25.0,False,False,False,9158.371,0,1143,7787
2.0,44,58.0,18.0,False,False,False,9158.55,0.179,1143,7787
3.0,14,58.0,15.0,False,False,False,9159.14,0.769,1143,7787
4.0,18,58.0,12.0,False,False,False,9161.453,3.082,1143,7787
5.0,11,58.0,11.0,False,False,False,9161.691,3.32,1143,7787
6.0,4,58.0,8.0,False,False,False,9162.072,3.701,1143,7787
7.0,27,58.0,6.0,False,False,False,9163.31,4.939,1143,7787
8.0,81,58.0,4.0,False,False,False,9163.753,5.382,1143,7787
9.0,24,58.0,2.0,False,False,False,9164.084,5.713,1143,7787
10.0,22,58.0,1.0,False,False,False,9164.423,6.052,1143,7787
11.0,77,58.0,0.0,False,False,False,9164.884,6.513,1143,7787
12.0,55,58.0,0.0,False,False,False,9164.965,6.594,1143,7787
13.0,10,56.0,0.0,True,False,False,,,1143,7787
14.0,31,56.0,0.0,True,False,False,,,1143,7787
15.0,21,56.0,0.0,True,False,False,,,1143,7787
16.0,2,56.0,0.0,True,False,False,,,1143,7787
17.0,20,52.0,0.0,True,False,False,,,1143,7787
,63,17.0,0.0,True,False,False,,,1143,7787
,23,6.0,0.0,True,False,False,,,1143,7787
,16,0.0,0.0,True,False,False,,,1143,7787
1.0,11,51.0,25.0,False,False,False,5562.436,0,1207,9070
2.0,1,51.0,18.0,False,False,False,5564.573,2.137,1207,9070
3.0,16,51.0,15.0,False,False,False,5583.653,21.217,1207,9070
4.0,14,51.0,12.0,False,False,False,5584.46,22.024,1207,9070
5.0,55,51.0,10.0,False,False,False,5607.927,45.491,1207,9070
6.0,44,51.0,8.0,False,False,False,5608.581,46.145,1207,9070
7.0,18,51.0,6.0,False,False,False,5614.053,51.617,1207,9070
8.0,63,51.0,5.0,False,False,False,5636.676,74.24,1207,9070
